lon,lat,month,ma,uas,vas,sfcWind,tas,rlds,rsds,pr,PM25,PM10,SO2,VOC,OC,CO,CO2,BC,NH3,NOx
112.0369,22.9394,201301,61.67704806,-0.869125874,-0.776486171,1.874808905,286.4463699,339.6391649,121.1713137,0.000480431,120.2622757,169.0663147,452.3219604,340.8589478,27.47514343,1453.39624,342542.7813,10.52240849,94.46483612,991.5238647
112.0369,22.9394,201302,68.59236357,-1.071369635,0.016256868,1.974221305,290.2467967,376.3901502,110.3337785,0.000987552,130.199646,184.4277496,548.8416138,310.5470276,24.84327316,1476.202759,424441.5313,9.637008667,91.89746857,1246.73999
112.0369,22.9394,201303,81.63545516,-1.158926385,0.55547107,2.158057096,293.1089578,383.8552764,136.8242723,0.006034299,152.9165497,219.0729828,654.3110352,379.0383911,27.78009224,1672.035278,503862.2188,10.94887733,101.2067795,1467.536987
112.0369,22.9394,201304,64.42139367,-1.06273728,0.284340765,2.099644045,294.285173,403.7570078,128.5700701,0.008023861,146.414978,209.3510742,619.6206055,357.4732971,26.85160446,1603.868042,478753.2813,10.54732513,141.6346893,1394.783081
112.0369,22.9394,201305,72.22411806,-0.570693008,0.918332102,1.80493367,298.7599781,421.3443392,170.1866586,0.007329906,153.7969513,220.5568848,653.6768188,378.5353699,27.82284927,1678.919434,503356.9688,10.98433399,167.9535522,1463.882446
112.0369,22.9394,201306,84.41622567,-0.710968787,0.652617633,2.102068738,300.7740915,424.5180722,200.6427952,0.005438209,150.6532288,217.8122101,634.0079346,416.2084656,27.38150024,1668.581299,480154.125,11.20000362,195.6925201,1388.259155
112.0369,22.9394,201307,77.82372645,-1.16200937,1.188446938,2.22925489,300.6128271,425.2192458,200.138592,0.005881941,145.6606903,208.193222,601.249939,375.7710571,27.7741394,1626.95813,461676.75,10.91542244,183.5486298,1340.696167
112.0369,22.9394,201308,84.31763161,-0.888856973,0.605567556,2.234324702,300.8022846,426.8324722,180.3443693,0.011230069,151.0080872,216.5635376,634.6917114,386.9453125,27.86283875,1668.442383,487491.7188,11.03182125,204.3004456,1416.010742
112.0369,22.9394,201309,91.19366267,-0.841687315,-0.519233946,1.861362882,299.7568853,413.9530206,183.1599757,0.006851699,146.5019379,211.8941345,596.147583,421.3444214,27.43268585,1646.311523,449796.5625,11.25016975,142.4263458,1293.784546
112.0369,22.9394,201310,118.0104255,-0.503175655,-1.408785059,1.968269787,296.8225499,375.1775943,191.6407861,9.90E-05,147.5620117,212.2599792,584.4115601,403.2626953,28.07295227,1646.654663,445008.2813,11.25066471,110.4577484,1277.876465
112.0369,22.9394,201311,90.09517267,-1.238159078,-1.218892299,2.266506987,292.4424735,363.9799049,123.8679508,0.003318531,153.3977661,222.6934052,622.119751,434.4542542,27.57038116,1688.091309,470875,11.40722466,130.6650848,1349.269775
112.0369,22.9394,201312,84.43489935,-0.544179344,-1.67077614,2.102509591,285.6321538,301.5754561,152.6641827,0.004814317,157.7120209,229.5365906,639.9209595,463.4146423,28.52242088,1741.0354,483222.7188,11.80836487,115.6161423,1380.813721
112.0369,22.9394,201401,84.5690129,-0.863576503,-0.639397814,2.045859953,287.1230037,312.9998407,162.5159724,7.01E-05,104.311615,146.0910339,425.3904724,347.2745972,21.5559063,1247.99646,315746.8125,8.660704613,232.1904144,912.7161865
