"lon","lat","month","ma"
113.495,22.2293,"202001",88.5625
113.574,22.2611,"202001",95.3125
114.2169,22.2845,"202001",68.53125
113.9411,22.2903,"202001",78.46875
113.9767,22.3908,"202001",85.125
113.434,22.4886,"202001",94.5
113.402,22.5078,"202001",98.84375
113.369,22.5211,"202001",95.96875
113.024,22.5328,"202001",101.21875
114.494,22.5422,"202001",86.84375
113.365,22.5481,"202001",95
114.096,22.55,"202001",92.125
114.117,22.5625,"202001",93.375
113.891,22.5794,"202001",88
113.074,22.5811,"202001",100.34375
113.0819,22.5931,"202001",96.3125
113.104,22.6069,"202001",97.3125
114.41,22.6342,"202001",96.78125
114.24,22.7267,"202001",76.4375
114.5317,22.7422,"202001",96.03125
114.085,22.75,"202001",86.96875
113.257,22.7628,"202001",89.15625
115.3652,22.775,"202001",103.1875
115.3622,22.7925,"202001",104.90625
113.292,22.8054,"202001",92.90625
112.844,22.8693,"202001",99.125
112.0391,22.9169,"202001",88.59375
112.0369,22.9394,"202001",84.40625
113.352,22.9477,"202001",98.90625
112.0538,22.9538,"202001",74.6875
113.7383,22.9658,"202001",97
113.134,23.0048,"202001",87.34375
113.7944,23.0127,"202001",100.838709677419
113.7461,23.0277,"202001",109.58064516129
113.105,23.0395,"202001",82.3125
112.471,23.0528,"202001",80.40625
112.427,23.0706,"202001",86.28125
114.405,23.0799,"202001",81.375
113.348,23.0916,"202001",99.46875
113.26,23.1331,"202001",94.78125
113.235,23.1422,"202001",79.0625
113.281,23.1569,"202001",86.59375
112.885,23.1572,"202001",87.84375
112.565,23.1617,"202001",78.6875
112.863,23.1886,"202001",91.6875
113.568,23.2783,"202001",94.96875
113.215,23.3917,"202001",94.1875
113.0478,23.6886,"202001",85.0625
113.0148,25.7706,"202001",55.96875
114.9347,25.8311,"202001",82.90625
114.9483,25.8453,"202001",78.75
113.0137,25.9026,"202001",58.03125
114.9069,25.9209,"202001",81.6875
111.6287,26.2023,"202001",56.09375
111.6288,26.23,"202001",57.59375
111.615,26.4203,"202001",65.28125
111.6038,26.4329,"202001",62.21875
111.6041,26.4485,"202001",64.78125
112.6331,26.8617,"202001",51.40625
112.6235,26.8922,"202001",47.4375
112.5715,26.9016,"202001",49.53125
112.6186,26.9188,"202001",54.53125
114.9836,27.0635,"202001",63.96875
115.0144,27.0826,"202001",56.8125
114.9857,27.1112,"202001",60.375
114.9919,27.1254,"202001",54.75
111.4555,27.2318,"202001",61.625
111.4379,27.259,"202001",59.84375
111.5245,27.2862,"202001",64.90625
109.9841,27.5311,"202001",76.15625
109.9499,27.5413,"202001",56.1875
109.9644,27.5693,"202001",61.75
113.8707,27.6151,"202001",44.25
113.8734,27.6397,"202001",49.40625
113.8424,27.6399,"202001",44.5625
111.9934,27.7,"202001",66.03125
109.1845,27.7189,"202001",56.5
109.1901,27.725,"202001",59.6875
112.0219,27.7341,"202001",62.5625
111.9954,27.755,"202001",60.25
114.917,27.7989,"202001",59.25
114.352,27.7997,"202001",56.46875
114.3856,27.8075,"202001",55.84375
112.92,27.8169,"202001",52.625
113.1347,27.8244,"202001",44.875
114.9642,27.8318,"202001",63.8125
113.2513,27.8336,"202001",55.5
113.13,27.8527,"202001",46.8125
112.9183,27.8575,"202001",44.3125
112.9555,27.8611,"202001",48.96875
113.1666,27.8666,"202001",46.625
113.0952,27.8866,"202001",50.21875
112.9075,27.9116,"202001",55.84375
112.527,27.915,"202001",56.15625
120.76,27.9747,"202001",68.9375
120.677,27.9939,"202001",71.8125
120.634,28.0089,"202001",67.53125
120.671,28.0167,"202001",71.46875
112.984,28.1178,"202001",54.21875
112.891,28.1308,"202001",54.34375
112.944,28.1897,"202001",48.34375
112.979,28.2597,"202001",49.0625
109.698,28.2624,"202001",52.9375
119.914,28.4514,"202001",64.625
119.93,28.4586,"202001",71
112.3499,28.5562,"202001",56.21875
112.3737,28.5795,"202001",55
112.3408,28.6017,"202001",49.46875
112.4036,28.6329,"202001",53.0625
121.273,28.6459,"202001",72.78125
121.419,28.6542,"202001",65.9375
115.931,28.6844,"202001",57.75
115.852,28.6869,"202001",57.75
104.5747,28.7183,"202001",56.1875
104.6416,28.7527,"202001",50.53125
104.5655,28.7905,"202001",50.15625
115.742,28.7994,"202001",61.5
105.4238,28.8558,"202001",51.625
105.4322,28.8833,"202001",42.28125
105.4277,28.9025,"202001",53.03125
105.4305,28.9583,"202001",54.34375
111.7015,28.9703,"202001",65.5
118.855,28.9745,"202001",58.15625
111.73,29.0755,"202001",59.25
119.686,29.1029,"202001",55.46875
110.4669,29.1291,"202001",45.65625
120.103,29.305,"202001",58.09375
120.055,29.3234,"202001",66.03125
104.7683,29.3411,"202001",53.3125
113.1209,29.3481,"202001",43.4375
110.5446,29.3497,"202001",55.375
113.0019,29.3538,"202001",62.125
104.7547,29.3627,"202001",57.15625
113.1708,29.378,"202001",47.34375
113.1505,29.4255,"202001",50.875
113.27,29.474,"202001",62.875
106.634,29.4892,"202001",34.28125
106.509,29.5092,"202001",37.625
115.9758,29.5738,"202001",86.59375
105.0622,29.5763,"202001",65.3125
103.7606,29.5809,"202001",48.59375
106.296,29.5983,"202001",41.34375
103.7535,29.5991,"202001",56.0625
115.9022,29.6044,"202001",57.375
105.0668,29.6065,"202001",66.625
106.65,29.6219,"202001",32.9375
115.958,29.7055,"202001",55.1875
118.3121,29.7106,"202001",79.59375
106.617,29.7125,"202001",43.03125
118.3291,29.7179,"202001",77.625
106.626,29.7228,"202001",33.3125
115.9877,29.7295,"202001",59.3125
121.633,29.7736,"202001",76.5625
114.3232,29.8177,"202001",58.90625
121.524,29.8506,"202001",70.28125
114.2989,29.8527,"202001",51.5
121.586,29.8633,"202001",69.78125
114.3339,29.8679,"202001",53.90625
121.554,29.8906,"202001",74.5
121.836,29.9108,"202001",75.5
122.3094,29.9558,"202001",78.96875
121.713,29.9572,"202001",78.53125
103.0133,29.9805,"202001",49.5625
102.9995,29.9844,"202001",57.125
120.605,29.9919,"202001",64.6875
102.9997,29.9942,"202001",50.15625
122.19,29.9944,"202001",86.09375
103.8706,30.0452,"202001",78.03125
103.8438,30.0846,"202001",55.9375
120.598,30.0911,"202001",59.84375
104.6458,30.1174,"202001",68.15625
104.6111,30.1233,"202001",66.84375
104.6644,30.1344,"202001",65.9375
104.6354,30.1346,"202001",66.4375
114.9516,30.1727,"202001",58.71875
120.27,30.1819,"202001",56.5625
115.0424,30.2002,"202001",48.375
120.211,30.21,"202001",57.3125
115.0755,30.2306,"202001",49.21875
120.19,30.2692,"202001",58.875
118.1416,30.2729,"202001",73.375
109.4789,30.2783,"202001",40.59375
109.5025,30.2945,"202001",43.1875
